"id","FHBDON","FHBDISIND","FHBSPKINC","PTHT","ZDK","GLBLSEV","BLSSEV","HSATIVLSEV","Year","Site"
"X20SGH002222",0.6,1.6,80,120,65,0,20,40,"2021","Salina"
"X20SGH003884",0.9,0.7,50,116,57,0,5,2,"2021","Salina"
"X20SGH000029",2.3,2.6,90,130,59,0,5,10,"2021","Salina"
"X20SGH000852",3.2,1.22222222,77.7777778,109,59,0,20,0,"2021","Salina"
"X20SGH001620",5.2,1,70,99,59,0,5,0,"2021","Salina"
"X20SGH001827",1.2,0.9,60,121,61,0,50,10,"2021","Salina"
"X20SGH002503",0.2,NA,NA,138,65,5,5,2,"2021","Salina"
"X20SGH003952",1.4,1.9,90,109,65,0,20,10,"2021","Salina"
"X20SGH003387",NA,NA,NA,NA,NA,NA,NA,NA,"2021","Salina"
"X20SGH003335",4.4,2.15,95,120,61,0,30,30,"2021","Salina"
"X20SGH000578",2.4,1.05882353,70.5882353,112,61,2,2,0,"2021","Salina"
"X20SGH003188",2.3,1.07692308,69.2307692,105,59,0,10,0,"2021","Salina"
"X20SGH002817",5.1,1.57894737,94.7368421,111,61,20,40,10,"2021","Salina"
"X20SGH000302",1.7,1.55,75,113,61,0,40,0,"2021","Salina"
"X20SGH002374",3.7,1.6,80,132,61,0,5,10,"2021","Salina"
"X20SGH001810",1.1,2,95,116,61,0,20,0,"2021","Salina"
"X20SGH000898",0.1,1.85,80,117,61,0,10,0,"2021","Salina"
"X20SGH003267",1.3,1.05555556,72.2222222,96,61,0,10,2,"2021","Salina"
"X20SGH002753",3.2,0.91666667,58.3333333,112,59,30,20,2,"2021","Salina"
"X20SGH001626",0.4,0.36842105,36.8421053,100,65,0,10,10,"2021","Salina"
"X20SGH002541",9.5,1.15384615,76.9230769,122,57,0,20,2,"2021","Salina"
"X20SGH000409",0.2,1.4,80,110,61,0,30,0,"2021","Salina"
"X20SGH001704",0.2,NA,NA,93,59,0,2,0,"2021","Salina"
"X20SGH002837",0.4,0.73684211,63.1578947,101,59,0,2,40,"2021","Salina"
"X20SGH002859",0,NA,NA,NA,NA,NA,NA,NA,"2021","Salina"
"X20SGH003170",NA,NA,NA,NA,NA,NA,NA,NA,"2021","Salina"
"X20SGH002632",4.9,1,70,109,59,0,0,50,"2021","Salina"
"X20SGH000480",0.5,1.1875,62.5,84,61,0,5,2,"2021","Salina"
"X20SGH003787",0.5,0.95,55,128,59,2,30,0,"2021","Salina"
"X20SGH001953",NA,NA,NA,NA,NA,NA,NA,NA,"2021","Salina"
"X20SGH000698",0.2,0.55,45,145,61,0,60,0,"2021","Salina"
"X20SGH000771",5.7,1.05,70,116,61,0,10,10,"2021","Salina"
"X20SGH001616",NA,NA,NA,NA,NA,NA,NA,NA,"2021","Salina"
"X20SGH000228",3.5,1.2,65,111,61,5,2,0,"2021","Salina"
"X20SGH001992",4.5,NA,NA,139,61,0,30,0,"2021","Salina"
"X20SGH000918",1,1.07142857,71.4285714,106,61,0,5,0,"2021","Salina"
"X20SGH003380",1,1.3,80,98,61,0,10,0,"2021","Salina"
"X20SGH003276",0.5,2.15,90,110,65,2,10,0,"2021","Salina"
"X20SGH001579",1.6,0.45,40,89,59,0,5,0,"2021","Salina"
"X20SGH001610",0.6,0.6,35,101,61,0,5,0,"2021","Salina"
"X20SGH002835",4.8,2.15,80,125,61,0,10,0,"2021","Salina"
"X20SGH001348",4.1,0.45,40,133,69,0,5,2,"2021","Salina"
"X20SGH001935",7.5,0.76923077,53.8461538,116,59,0,20,5,"2021","Salina"
"X20SGH003418",0.5,0.6,55,110,65,0,20,5,"2021","Salina"
"X20SGH001573",2.5,0.8,65,111,61,0,20,0,"2021","Salina"
"X20SGH000380",1.3,1.42857143,78.5714286,129,61,0,50,0,"2021","Salina"
"X20SGH002099",1.8,1.47368421,73.6842105,104,61,0,60,0,"2021","Salina"
"X20SGH003835",0.8,1.35,65,117,59,0,30,0,"2021","Salina"
"X20SGH003060",0.4,0.85,65,101,57,0,10,0,"2021","Salina"
"X20SGH001274",2.2,1.46666667,80,112,59,0,5,30,"2021","Salina"
"X20SGH002733",0.5,1.05263158,73.6842105,119,61,0,30,0,"2021","Salina"
"X20SGH001939",NA,NA,NA,NA,NA,NA,NA,NA,"2021","Salina"
"X20SGH001745",2.7,1.35,85,93,59,0,10,0,"2021","Salina"
"X20SGH001494",0.3,0.625,56.25,82,53,0,2,0,"2021","Salina"
"X20SGH001645",1.4,0.94444444,61.1111111,95,61,2,2,0,"2021","Salina"
"X20SGH003856",4.4,1.15384615,53.8461538,104,59,0,40,0,"2021","Salina"
"X20SGH001256",0.9,1.53333333,80,92,59,10,10,30,"2021","Salina"
"X20SGH003541",0.4,0.4,35,130,65,2,10,0,"2021","Salina"
"X20SGH003130",3.4,1.1,75,127,61,0,5,0,"2021","Salina"
